exchange,market,best bid (USD),bid depth (BCH), best ask (USD),ask depth (BCH), market price (USD),total depth (BCH)
bitbay,BCH/USD,110.98,4.50531627,123.83,5.0,117.73937529851388,9.50531627
bitfinex,BCH/USD,126.7,41.47096162,126.84,3.8,126.71175146232736,45.270961619999994
bitfinex2,BCH/USD,126.7,41.47096162,126.84,3.8,126.71175146232736,45.270961619999994
bitsane,BCH/USD,118.911,0.01227809,133.688,2.27774295,133.60877219695325,2.29002104
bitstamp,BCH/USD,123.4,4.15144924,123.78,2.0,123.52354812180815,6.15144924
bittrex,BCH/USD,123.125,19.41,123.731,20.401,123.43554246313832,39.811
cex,BCH/USD,126.13,3.0,126.89,6.0,126.63666666666667,9.0
coinbaseprime,BCH/USD,123.36,0.7819,123.48,2.0,123.44627197239296,2.7819000000000003
coinbasepro,BCH/USD,123.39,0.7816,123.48,2.0,123.45471095772216,2.7816
dsx,BCH/USD,122.69884,0.129,123.75275,3.0073,123.70940134394033,3.1363
exmo,BCH/USD,127.80000326,0.13699893,128.4675742,0.10651762,128.09200833197542,0.24351655
gdax,BCH/USD,123.46,0.19,123.48,2.0,123.47826484018265,2.19
gemini,BCH/USD,123.46,70.0,123.71,10.0,123.49125,80.0
independentreserve,BCH/USD,119.94,11.0,125.15,1.528,120.57544699872285,12.528
kraken,BCH/USD,123.3,16.519,123.4,20.307,123.35514310541467,36.82599999999999
liquid,BCH/USD,122.73111,3.0,123.913,4.195,123.42020361362056,7.195
livecoin,BCH/USD,123.25377,0.07753816,128.3915,0.05305,125.34091615857976,0.13058816
lykke,BCH/USD,122.886,25.0,124.388,25.0,123.637,50.0
okcoinusd,BCH/USD,120.09,44.0,123.64,15.819,121.02878951503703,59.819
okex,BCH/USD,123.29,140.0,123.38,121.0,123.33172413793105,261.0
qryptos,BCH/USD,122.75843,2.9873,123.913,4.195,123.43278517174164,7.1823
quoinex,BCH/USD,122.76736,3.0,123.913,4.195,123.43531827658096,7.195
rightbtc,BCH/USD,123.775,0.001,123.787,0.002,123.78300000000002,0.003
southxchange,BCH/USD,123.683,5.450886,126.7398,0.66,124.0131465613988,6.110886
yobit,BCH/USD,132.43404978,0.00748008,138.66045915,0.04901254,137.83603216820399,0.05649262
