exchange,market,best bid (USD),bid depth (BTC), best ask (USD),ask depth (BTC), market price (USD),total depth (BTC)
anxpro,BTC/USD,3200.0,2.95,3524.66761,1.09,3287.5959640841584,4.04
bitbay,BTC/USD,3747.91,0.01125829,3815.0,0.00366972,3764.402587746123,0.01492801
bitfinex,BTC/USD,3820.5,0.81123477,3820.6,7.735443,3820.590508185849,8.54667777
bitfinex2,BTC/USD,3820.5,0.81123477,3820.6,7.735443,3820.590508185849,8.54667777
bitflyer,BTC/USD,3721.1,0.01,3722.73,0.11,3722.5941666666668,0.12
bitlish,BTC/USD,3755.55,0.0438,3773.2,62.62,3773.1876632122535,62.663799999999995
bitmex,BTC/USD,3721,1275318,3721.5,980199,3721.2172892068647,2255517
bitsane,BTC/USD,3486.0,0.92724695,3999.999,0.00705351,3489.880440224219,0.93430046
bitstamp,BTC/USD,3723.29,1.0,3724.84,2.0,3724.3233333333337,3.0
bitstamp1,BTC/USD,3723.29,1.0,3724.79,2.08,3724.302987012987,3.08
bittrex,BTC/USD,3718.427,0.68250001,3726.917,4.999,3725.8971240738006,5.68150001
btcalpha,BTC/USD,3801.398,0.00631815,3805.875,0.039151,3805.252900014625,0.04546915
ccex,USD/BTC,0.00022994,68733.20961990084,0.00024091,37712.91449088872,0.00023382657337616593,106446.12411078956
ccex,BTC/USD,4151.0,0.00218873,4349.0,0.00363409,4274.574113573835,0.005822819999999999
cex,BTC/USD,3811.3,0.19531918,3813.5,0.8,3813.068276986283,0.9953191800000001
coinbaseprime,BTC/USD,3723.38,0.7721511,3723.39,19.65200426,3723.3896219422118,20.424155359999997
coinbasepro,BTC/USD,3723.38,0.7721511,3723.39,19.65200426,3723.3896219422118,20.424155359999997
coinfloor,BTC/USD,3171.0,0.3581,4483.0,0.3797,3846.20520466251,0.7378
crex24,BTC/USD,3773.0,0.0908,3792.0,0.0028345,3773.5751672727465,0.09363450000000001
dsx,BTC/USD,3712.002,0.5,3728.8898,0.0228,3712.7384993113997,0.5228
exmo,BTC/USD,3860.6,0.64901265,3868.44878859,0.00517003,3860.662029267534,0.65418268
gatecoin,BTC/USD,4000.0,0.01,5000.0,0.01,4500.0,0.02
gdax,BTC/USD,3723.38,0.63797391,3723.39,12.85126587,3723.3895270497665,13.48923978
gemini,BTC/USD,3723.01,1.0,3724.48,2.0,3723.9900000000002,3.0
independentreserve,BTC/USD,3719.96,0.13405209,3738.72,0.1341024,3729.3417598355336,0.26815449
itbit,BTC/USD,3724.01,3.0,3724.42,1.0,3724.1125,4.0
kraken,BTC/USD,3721.4,2.228,3722.4,0.17,3721.4708924103425,2.398
lakebtc,BTC/USD,4346.94,0.0458,4357.77,6.8269,4357.697828364398,6.8727
liquid,BTC/USD,3723.60001,0.01066538,3725.79393,0.012,3724.7615629940383,0.02266538
livecoin,BTC/USD,3769.00009,0.017863419999999998,3792.7,4.0,3792.5946302046536,4.01786342
lykke,BTC/USD,3713.288,0.0004274,3746.726,5.0,3746.723141964065,5.0004274
okcoinusd,BTC/USD,3705.65,0.275,3713.07,0.275,3709.36,0.55
okex,BTC/USD,3722.3,5.0,3722.8,1.0,3722.383333333333,6.0
qryptos,BTC/USD,3724.31418,0.1,3725.79393,0.012,3724.472724642857,0.112
quoinex,BTC/USD,3724.50178,0.1,3725.79393,0.012,3724.6402246428574,0.112
rightbtc,BTC/USD,3712.6,0.0009,3735.41,0.0002,3716.747272727272,0.0011
southxchange,BTC/USD,3785.0,9.03e-06,3840.2333,0.039,3840.2205143270676,0.03900903
yobit,BTC/USD,4050.44,0.00032,4063.51048181,2.61445412,4063.508882224725,2.61477412
