exchange,market,best bid (USD),bid depth (LTC), best ask (USD),ask depth (LTC), market price (USD),total depth (LTC)
bitbay,LTC/USD,45.7,11.28730884,49.71,2.15,46.34160912744192,13.43730884
bitfinex,LTC/USD,47.494,148.21809941,47.495,24.4,47.4941413525006,172.61809941
bitfinex2,LTC/USD,47.494,136.22166503,47.495,24.4,47.4941519097688,160.62166503
bitlish,LTC/USD,45.66,51.7331,46.56,146.5872,46.32522932851554,198.3203
bitsane,LTC/USD,26.631,1.3,51.264,0.03029781,27.19202171116857,1.33029781
bitstamp,LTC/USD,46.22,75.18342536,46.36,0.66835637,46.22123358858112,75.85178173
bittrex,LTC/USD,46.135,35.98,46.347,68.99025437,46.27433408101391,104.97025436999999
btcalpha,LTC/USD,47.2575,1.57171334,47.3103,0.14903659,47.26207308282558,1.72074993
ccex,LTC/USD,40.00000001,5.12499999,50.99,0.26974734,40.54952032718277,5.39474733
cex,LTC/USD,47.38,1.34712123,47.69,70.0,47.684146819463756,71.34712123
coinbaseprime,LTC/USD,46.24,249.70851862,46.25,18.3942,46.24068608778362,268.10271862
coinbasepro,LTC/USD,46.24,249.70851862,46.25,18.3942,46.24068608778362,268.10271862
dsx,LTC/USD,45.300001,2.779,46.411406,3.843,45.944991850951375,6.622
exmo,LTC/USD,47.80754473,0.233122,47.97209814,0.05,47.83660524278247,0.283122
gatecoin,LTC/USD,36.0,172.49706278,88.0,5.0,37.4648129717068,177.49706278
gdax,LTC/USD,46.24,297.48015638,46.25,6.92933306,46.240227631966164,304.40948943999996
gemini,LTC/USD,46.24,165.634,46.41,42.923,46.27498760530694,208.557
independentreserve,LTC/USD,45.84,52.83744697,46.76,10.03,45.98677866598278,62.86744697
kraken,LTC/USD,46.31,1.8,46.37,0.9,46.33,2.7
livecoin,LTC/USD,46.4,1.2051,47.82875,0.6824444,46.9165666230156,1.8875444
lykke,LTC/USD,46.13472,50.0,46.67566845,50.0,46.405194224999995,100.0
okcoinusd,LTC/USD,46.21,3.8909,46.3,129.4253,46.29737330496968,133.31619999999998
okex,LTC/USD,46.228,16.0,46.23,57.0,46.229561643835616,73.0
southxchange,LTC/USD,46.359,11.73199,47.5944,3.36308,46.63423880525231,15.09507
yobit,LTC/USD,50.00000081,1.81118745,50.77211012,1.57863566,50.35957098538417,3.38982311
