exchange,market,best bid (USD),bid depth (USDT), best ask (USD),ask depth (USDT), market price (USD),total depth (USDT)
bitlish,USDT/USD,0.95,10000.0,1.00999,2982.91,0.9637831018546689,12982.91
bittrex,USDT/USD,0.994,204605.31377022,0.997,1864.30295495,0.9940270882900524,206469.61672517
btcalpha,USD/USDT,0.991,16.085611503531787,0.995,25.628140703517587,0.993457524374821,41.713752207049374
ccex,USDT/USD,0.09300001,408.62846552999997,0.97,632.0,0.6256242962266015,1040.62846553
dsx,USDT/USD,0.967312,49.0,0.989768,25.4,0.9749784301075267,74.4
exmo,USDT/USD,1.03020011,12.28389203,1.03629999,9.22960849,1.0328170483352395,21.51350052
kraken,USDT/USD,0.9961,957.404,0.9967,362.0,0.9962646197828717,1319.404
okcoinusd,USDT/USD,0.9924,204.50689754357538,0.9928,300.0,0.992637856014624,504.5068975435754
southxchange,USDT/USD,0.0007,321.999999,7.7599,0.487119,0.012420324731854872,322.487118
yobit,USDT/USD,1.08400001,3.8944975,1.0974,15.50848159,1.094710401288742,19.402979090000002
