exchange,market,best bid (USD),bid depth (ZEC), best ask (USD),ask depth (ZEC), market price (USD),total depth (ZEC)
bitfinex,ZEC/USD,49.237,6.0,49.281,5.45126413,49.25794577672797,11.45126413
bitfinex2,ZEC/USD,49.238,15.46680373,49.271,0.6,49.23923235463212,16.06680373
bitlish,ZEC/USD,47.6,96.27,48.4,122.87,48.04855343615954,219.14
bittrex,ZEC/USD,47.969,53.34,48.33,2.16091853,47.98305547169293,55.50091853000001
cex,ZEC/USD,48.78,1.92,49.45,0.42,48.90025641025642,2.34
exmo,ZEC/USD,49.741515,0.907,49.74686007,0.24401539,49.74264815543125,1.15101539
gemini,ZEC/USD,47.78,633.289,49.84,307.969705,48.45400980084428,941.258705
kraken,ZEC/USD,47.94,6.395,48.07,6.211,48.004051245438674,12.606
livecoin,ZEC/USD,48.00001,0.02276782,51.33821,1.7246726,51.29471579221236,1.74744042
lykke,ZEC/USD,53.04338,0.01,60.19686,0.04298985,58.846888260129056,0.052989850000000005
okcoinusd,ZEC/USD,47.76,1.550457,48.2,12.03029,48.14976704300581,13.580747
yobit,ZEC/USD,52.06501372,0.00359771,54.37321553,0.46523454,54.355502924406316,0.46883224999999995
