currency,ticker,marketcap ($),marketprice ($)
Bitcoin,BTC,66346729176.511955,3553.5312378270455
Ethereum,ETH,13509418432.114458,126.66410334498842
XRP,XRP,12638363916.718254,0.30355805305118927
EOS,EOS,3013681579.9166975,3.3584507110896227
Litecoin,LTC,2847410564.201828,45.81421226666578
Bitcoin Cash,BCH,2203198944.8466372,123.58836954634712
Tether,USDT,2042334007.4847348,0.9891393001132488
Stellar,XLM,1603353371.5401797,0.08434562839609216
Binance Coin,BNB,1588738532.7619283,12.394945464057065
TRON,TRX,1461775042.1404402,0.021340515950392682
Bitcoin SV,BSV,1117623131.5794075,62.87053048474901
Cardano,ADA,1044341972.7480181,0.03939139536588001
Monero,XMR,820920587.2624024,47.91360314024341
Dash,DASH,693147566.2396405,76.59901090101653
Maker,MKR,652623378.6159999,649.8113997451879
NEO,NEO,545023061.0799,8.426194064683658
Ethereum Classic,ETC,454392043.05268633,4.217760353509618
NEM,XEM,372387731.73572356,0.04269608125593306
Zcash,ZEC,296901757.42017907,48.38174570684958
Ontology,ONT,264344077.56957936,0.5521163065630573
Waves,WAVES,262535273.85900003,2.731313782938271
Tezos,XTZ,242917164.20736024,0.42558450847752854
USD Coin,USDC,239437215.2366893,0.5186249867616146
Dogecoin,DOGE,236542059.45375234,0.0020034816292085764
VeChain,VET,234849002.31251916,0.004227305764983529
TrueUSD,TUSD,205229645.26152673,0.9991855986645084
Bitcoin Gold,BTG,204195596.43680048,11.645720059268891
Basic Attention Token,BAT,199797032.13593736,0.15932919214466296
Qtum,QTUM,178723139.44683656,1.9026982762631766
