currency,ticker,marketcap ($)
Bitcoin,BTC,66346729176.511955
Ethereum,ETH,13509418432.114458
XRP,XRP,12638363916.718254
EOS,EOS,3013681579.9166975
Litecoin,LTC,2847410564.201828
Bitcoin Cash,BCH,2203198944.8466372
Tether,USDT,2042334007.4847348
Stellar,XLM,1603353371.5401797
Binance Coin,BNB,1588738532.7619283
TRON,TRX,1461775042.1404402
Bitcoin SV,BSV,1117623131.5794075
Cardano,ADA,1044341972.7480181
Monero,XMR,820920587.2624024
IOTA,MIOTA,770211482.6067504
Dash,DASH,693147566.2396405
Maker,MKR,652623378.6159999
NEO,NEO,545023061.0799
Ethereum Classic,ETC,454392043.05268633
NEM,XEM,372387731.73572356
Zcash,ZEC,296901757.42017907
Ontology,ONT,264344077.56957936
Waves,WAVES,262535273.85900003
Tezos,XTZ,242917164.20736024
USD Coin,USDC,239437215.2366893
Dogecoin,DOGE,236542059.45375234
VeChain,VET,234849002.31251916
TrueUSD,TUSD,205229645.26152673
Bitcoin Gold,BTG,204195596.43680048
Basic Attention Token,BAT,199797032.13593736
Qtum,QTUM,178723139.44683656
